class_id,person,safe_label,support,predicted,true_positive,false_positive,false_negative,accuracy,precision,recall,f1,mean_true_score
149,Philip Seymour Hoffman,Philip_Seymour_Hoffman,4,5,4,1,0,1.000000,0.800000,1.000000,0.888889,0.853247
150,Quincy Jones,Quincy_Jones,4,3,3,0,1,0.750000,1.000000,0.750000,0.857143,0.705183
151,Rachael Ray,Rachael_Ray,9,9,8,1,1,0.888889,0.888889,0.888889,0.888889,0.848811
152,Ralph Nader,Ralph_Nader,7,7,7,0,0,1.000000,1.000000,1.000000,1.000000,0.774794
153,Ray Romano,Ray_Romano,3,1,1,0,2,0.333333,1.000000,0.333333,0.500000,0.566378
154,Reese Witherspoon,Reese_Witherspoon,13,9,9,0,4,0.692308,1.000000,0.692308,0.818182,0.737580
155,Renee Zellweger,Renee_Zellweger,12,15,11,4,1,0.916667,0.733333,0.916667,0.814815,0.779410
156,Ricky Martin,Ricky_Martin,9,6,5,1,4,0.555556,0.833333,0.555556,0.666667,0.706073
157,Robert Downey Jr,Robert_Downey_Jr,4,4,1,3,3,0.250000,0.250000,0.250000,0.250000,0.582458
158,Robert Gates,Robert_Gates,9,9,9,0,0,1.000000,1.000000,1.000000,1.000000,0.896300
159,Rod Stewart,Rod_Stewart,4,1,1,0,3,0.250000,1.000000,0.250000,0.400000,0.561481
160,Rosario Dawson,Rosario_Dawson,10,8,7,1,3,0.700000,0.875000,0.700000,0.777778,0.750174
161,Rosie Perez,Rosie_Perez,3,3,2,1,1,0.666667,0.666667,0.666667,0.666667,0.659393
162,Russell Crowe,Russell_Crowe,11,10,10,0,1,0.909091,1.000000,0.909091,0.952381,0.816327
163,Ryan Seacrest,Ryan_Seacrest,6,6,6,0,0,1.000000,1.000000,1.000000,1.000000,0.785396
164,Salma Hayek,Salma_Hayek,15,14,14,0,1,0.933333,1.000000,0.933333,0.965517,0.859365
165,Sania Mirza,Sania_Mirza,19,19,19,0,0,1.000000,1.000000,1.000000,1.000000,0.866471
166,Sarah Chalke,Sarah_Chalke,3,4,3,1,0,1.000000,0.750000,1.000000,0.857143,0.625084
167,Sarah Palin,Sarah_Palin,8,7,7,0,1,0.875000,1.000000,0.875000,0.933333,0.848222
168,Scarlett Johansson,Scarlett_Johansson,20,19,17,2,3,0.850000,0.894737,0.850000,0.871795,0.775481
169,Seth Rogen,Seth_Rogen,7,7,6,1,1,0.857143,0.857143,0.857143,0.857143,0.843454
170,Shahrukh Khan,Shahrukh_Khan,9,9,8,1,1,0.888889,0.888889,0.888889,0.888889,0.719954
171,Shakira,Shakira,10,8,8,0,2,0.800000,1.000000,0.800000,0.888889,0.793910
172,Shania Twain,Shania_Twain,7,6,4,2,3,0.571429,0.666667,0.571429,0.615385,0.695905
173,Sharon Stone,Sharon_Stone,12,10,8,2,4,0.666667,0.800000,0.666667,0.727273,0.581207
